제목,장르,총 평점,유저 평점
"베로니카, 죽기로 결심하다",드라마,3.0,2.5
파우더,드라마,3.4,3.0
사우스포,액션,3.4,3.0
불가사리,공포,3.3,3.0
무인지대,드라마,2.4,2.0
터미널 스피드,액션,3.0,2.5
무서운 영화 3,공포,3.0,3.0
싸일런트 트리거,액션,2.7,2.5
다크 엔젤,스릴러,2.9,2.5
특전대 네이비 씰,액션,2.9,2.5
리벤지,로맨스,3.0,3.0
겟 리치 오어 다이 트라인,음악,3.4,3.0
이브 생 로랑,드라마,3.3,3.0
남쪽,스페인,4.0,4.0
루시아,드라마,2.9,2.5
붉은 다람쥐,드라마,3.4,3.0
젖소,드라마,3.7,3.5
북극의 연인들,로맨스,3.7,3.5
극한직업,코미디,3.9,3.5
가버나움,드라마,4.3,4.0
글래스,드라마,3.3,3.0
언더독,애니메이션,3.7,3.5
쿠르스크,액션,3.5,3.0
그린 북,코미디,4.2,4.0
말모이,드라마,3.6,3.5
리지,범죄,3.2,3.0
레토,음악,3.7,3.5
레인보우: 나의 사랑,드라마,3.0,2.5
PMC: 더 벙커,액션,2.7,2.5
아쿠아맨,액션,3.3,3.0
"춘천, 춘천",드라마,3.0,2.5
공동정범,다큐멘터리,3.6,3.5
부탁 하나만 들어줘,범죄,3.5,3.5
마약왕,범죄,2.6,2.5
로마,드라마,4.1,4.0
안개 속 소녀,스릴러,3.0,2.5
고스트 스토리,로맨스,3.7,3.5
졸도,미국,3.9,3.5
탱고,코미디,3.4,3.0
최선의 의도,로맨스,3.3,3.0
쇼팽의 푸른 노트,드라마,3.0,2.5
크리터스,액션,2.9,2.5
로미와 미셀,미국,3.0,3.0
와이어트 어프,로맨스,2.9,2.5
이중 노출,드라마,2.9,2.5
쿨 월드,판타지,2.4,2.0
윌로우,판타지,3.3,3.0
다크맨 2,액션,2.8,2.5
블루 썬더,드라마,3.2,3.0
꼬마 천재 테이트,드라마,3.4,3.0
터너와 후치,드라마,3.2,3.0
다운 바이 로,코미디,3.8,3.5
데드 링거,드라마,3.5,3.5
의뢰인,드라마,3.6,3.5
엑설런트 어드벤쳐,코미디,3.4,3.0
사관과 신사,드라마,3.6,3.5
미스터 노바디,SF,3.7,3.5
페어런트 트랩,로맨스,3.9,3.5
아메리칸 셰프,모험,3.9,3.5
이프 온리,코미디,4.0,4.0
에이미,음악,3.9,3.5
바르다가 사랑한 얼굴들,다큐멘터리,4.0,4.0
저니스 엔드,드라마,3.6,3.5
국가부도의 날,드라마,3.5,3.0
에스코바르,액션,3.3,3.0
영주,드라마,3.5,3.0
새벽의 약속,드라마,3.6,3.5
신비한 동물들과 그린델왈드의 범죄,가족,3.1,3.0
인 디 아일,드라마,3.8,3.5
쥬라기 월드: 폴른 킹덤,SF,3.2,3.0
인크레더블 2,애니메이션,3.8,3.5
소공녀,드라마,3.8,3.5
호밀밭의 반항아,드라마,3.6,3.5
군산: 거위를 노래하다,드라마,3.3,3.0
완벽한 타인,코미디,3.7,3.5
친애하는 우리 아이,드라마,3.3,3.0
보헤미안 랩소디,드라마,3.9,3.5
창궐,액션,2.4,2.0
프리다의 그해 여름,드라마,3.8,3.5
풀잎들,드라마,3.5,3.0
퍼스트 맨,드라마,3.6,3.5
양의 나무,스릴러,3.2,3.0
스타 이즈 본,로맨스,3.6,3.5
리즈와 파랑새,애니메이션,3.8,3.5
암수살인,범죄,3.5,3.5
너는 여기에 없었다,범죄,3.6,3.5
베놈,액션,3.3,3.0
죄 많은 소녀,드라마,3.8,3.5
물괴,액션,1.9,1.5
어둔 밤,액션,3.4,3.0
서치,드라마,3.8,3.5
살아남은 아이,드라마,3.6,3.5
상류사회,드라마,1.8,1.5
휘트니,음악,3.5,3.5
피쉬 탱크,드라마,3.3,3.0
싸이보그 그녀,로맨틱코미디,2.6,2.5
대복성,액션,2.9,2.5
뮤리엘의 웨딩,드라마,3.4,3.0
플라이,드라마,3.6,3.5
맨 온 와이어,다큐멘터리,3.5,3.5
드라이빙 미스 데이지,코미디,3.6,3.5
아이가 커졌어요,모험,3.3,3.0
내니 다이어리,로맨틱코미디,3.3,3.0
팀 아메리카: 세계 경찰,액션,3.2,3.0
하워드 덕,액션,2.8,2.5
불멸의 연인,드라마,3.6,3.5
에이스 벤츄라 2,모험,3.5,3.0
LA 탈출,액션,2.7,2.5
야연,액션,3.1,3.0
신정무문,액션,3.4,3.0
레스큐 던,액션,3.5,3.5
작은 아씨들,로맨스,3.6,3.5
올드 미스 다이어리 - 극장판,코미디,2.9,2.5
녹정기,액션,3.5,3.5
트론,판타지,3.1,3.0
어디선가 누군가에 무슨 일이 생기면 틀림없이 나타난다 홍반장,로맨스,2.8,2.5
바이오맨,액션,2.2,2.0
아찌 아빠,로맨스,2.1,2.0
니나,액션,2.7,2.5
슈퍼 마리오,모험,2.3,2.0
모탈 컴뱃,SF,2.3,2.0
돌아이,액션,2.7,2.5
포트리스,SF,3.1,3.0
서든 데쓰,액션,2.9,2.5
마지막 방위,코미디,2.4,2.0
버킷 리스트: 죽기전에 꼭 하고싶은것들,드라마,3.9,3.5
좋지 아니한가,코미디,3.2,3.0
필로미나의 기적,가족,3.5,3.5
1724 기방난동사건,액션,2.1,2.0
불가사리,액션,2.7,2.5
더티 댄싱,드라마,3.7,3.5
철마류,액션,3.1,3.0
성실한 나라의 앨리스,드라마,3.6,3.5
슈퍼 사이즈 미,다큐멘터리,3.4,3.0
고공침투,액션,3.1,3.0
압솔롬 탈출,액션,2.8,2.5
심사관,액션,3.4,3.0
무드 인디고,드라마,3.6,3.5
질투,드라마,3.3,3.0
절대쌍교,액션,3.3,3.0
딥 라이징,스릴러,3.1,3.0
진용,로맨스,3.4,3.0
우먼 인 골드,드라마,3.7,3.5
도망자 2,액션,3.2,3.0
장군의 아들 3,액션,3.0,2.5
스트레이트 아웃 오브 컴턴,드라마,3.7,3.5
오버 더 톱,드라마,3.2,3.0
대사건,액션,3.3,3.0
아나스타샤,애니메이션,3.7,3.5
어쌔신,액션,3.2,3.0
언더 씨즈 2,액션,3.1,3.0
피아니스트의 전설,드라마,4.0,4.0
멤피스 벨,전쟁,3.5,3.5
최가박당,액션,3.4,3.0
왓 어 걸 원츠,로맨스,3.4,3.0
방세옥,액션,3.3,3.0
식코,다큐멘터리,3.7,3.5
반창꼬,로맨스,3.5,3.0
마스터 앤드 커맨더: 위대한 정복자,액션,3.4,3.0
이연걸의 보디가드,액션,3.4,3.0
워터월드,액션,3.2,3.0
서극의 칼,액션,3.5,3.0
신용문객잔,드라마,3.5,3.0
필스,코미디,3.4,3.0
흡혈형사 나도열,코미디,2.2,2.0
야마카시,액션,3.2,3.0
데몰리션 맨,액션,3.3,3.0
빅,코미디,3.8,3.5
투 마더스,드라마,2.7,2.5
의천도룡기,액션,3.7,3.5
스윙걸즈,틴에이저,3.5,3.5
구니스,액션,3.7,3.5
프레데터,액션,3.6,3.5
프리즈너스,범죄,3.6,3.5
밀레니엄 1 : 여자를 증오한 남자들,스릴러,3.5,3.0
미션,드라마,3.9,3.5
와일드,모험,3.9,3.5
블러드 다이아몬드,액션,3.7,3.5
1번가의 기적,코미디,2.9,2.5
용형호제 2 - 비룡계획,액션,3.7,3.5
니키타,액션,3.5,3.0
델마,드라마,3.5,3.5
공작,드라마,3.5,3.5
더 스퀘어,드라마,3.6,3.5
주피터스 문,드라마,2.9,2.5
신과함께-인과 연,드라마,3.4,3.0
한나,드라마,3.1,3.0
어느 가족,범죄,4.1,4.0
인랑,액션,2.1,2.0
미션 임파서블: 폴아웃,액션,3.7,3.5
서버비콘,코미디,2.9,2.5
스카이스크래퍼,액션,2.8,2.5
앤트맨과 와스프,SF,3.6,3.5
앤트맨,액션,3.9,3.5
킬링 디어,드라마,3.8,3.5
변산,드라마,2.9,2.5
잉글랜드 이즈 마인,드라마,3.2,3.0
페이퍼,드라마,3.3,3.0
샤도우랜드,로맨스,3.8,3.5
시더 래피드,코미디,2.8,2.5
사라피나,드라마,2.8,2.5
조지 오브 정글 2,코미디,2.5,2.5
제너두,로맨스,2.7,2.5
아마추어,드라마,3.3,3.0
바보 헨리,미국,3.5,3.5
심플 맨,범죄,3.6,3.5
비공개,드라마,2.8,2.5
앤지,드라마,2.8,2.5
후계자,액션,3.0,2.5
원 트루 씽,드라마,3.4,3.0
이노센트,드라마,2.8,2.5
네미시스,스릴러,2.4,2.0
철목련,드라마,3.4,3.0
골든 차일드,액션,2.6,2.5
미스 플라워,독일,2.6,2.5
블러드 워크,액션,3.1,3.0
미드나잇 가든,스릴러,3.3,3.0
클림트,드라마,2.9,2.5
피카소,로맨스,2.9,2.5
죽음의 카운트다운,스릴러,3.3,3.0
쉬핑 뉴스,드라마,3.1,3.0
도시의 카우보이,서부극,2.9,2.5
돈 컴 노킹,서부극,3.1,3.0
볼륨을 높여라,드라마,3.6,3.5
에프 엑스,액션,3.4,3.0
퍼시픽 하이츠,스릴러,3.1,3.0
이스트윅의 마녀들,코미디,3.2,3.0
전망 좋은 방,드라마,3.5,3.5
스네이크 아이,드라마,3.1,3.0
인사이드 맨,범죄,3.5,3.5
컷 런스 딥,드라마,2.7,2.5
캣 피플,로맨스,3.2,3.0
위험한 독신녀,드라마,3.3,3.0
인도로 가는 길,드라마,3.3,3.0
폴터가이스트,스릴러,3.3,3.0
미스터 터너,드라마,3.2,3.0
코쿤,드라마,3.3,3.0
우리는 동물원을 샀다,드라마,3.6,3.5
주홍글씨,드라마,2.9,2.5
칼리포니아,드라마,3.1,3.0
셀마,드라마,3.7,3.5
바탈리언 2,공포,3.0,3.0
잠망경을 올려라,코미디,2.9,2.5
펠리칸 브리프,드라마,3.4,3.0
요람을 흔드는 손,드라마,3.5,3.5
