제목,장르,총 평점,유저 평점
미녀 삼총사,액션,3.4,3.0
품행 제로,로맨스,3.1,3.0
바람난 가족,코미디,2.9,2.5
캐치 미 이프 유 캔,범죄,4.1,4.0
조폭 마누라,코미디,2.7,2.5
영웅: 천하의 시작,액션,3.5,3.5
이연걸의 영웅,액션,3.4,3.0
캐리비안의 해적 - 망자의 함,스릴러,3.9,3.5
싱글즈,로맨틱코미디,3.1,3.0
위대한 유산,드라마,3.6,3.5
첫사랑 사수 궐기대회,코미디,2.4,2.0
선생 김봉두,드라마,3.2,3.0
터미네이터 3 - 라이즈 오브 더 머신,액션,3.4,3.0
터미네이터 2,액션,4.1,4.0
반칙왕,스포츠,3.2,3.0
광복절 특사,코미디,3.1,3.0
"장화, 홍련",공포,3.3,3.0
올드보이,액션,3.6,3.5
매트릭스 2 - 리로디드,SF,3.9,3.5
매트릭스,판타지,4.2,4.0
해리포터와 혼혈왕자,판타지,3.7,3.5
해리 포터와 비밀의 방,판타지,3.9,3.5
해리포터와 마법사의 돌,판타지,4.1,4.0
색즉시공 시즌 2,코미디,2.5,2.5
색즉시공,코미디,2.8,2.5
동갑내기 과외하기,로맨틱코미디,3.0,3.0
반지의 제왕 : 반지 원정대,판타지,4.1,4.0
반지의 제왕 : 두 개의 탑,판타지,4.1,4.0
살인의 추억,범죄,4.1,4.0
나는 나를 파괴할 권리가 있다,로맨스,2.2,2.0
활,드라마,3.1,3.0
과거가 없는 남자,범죄,3.7,3.5
내 미국 삼촌,코미디,3.8,3.5
에쥬케이터,드라마,3.0,3.0
피크닉,드라마,3.7,3.5
릴리 슈슈의 모든 것,드라마,3.7,3.5
인 디스 월드,드라마,3.8,3.5
스왈로우테일 버터플라이,드라마,3.8,3.5
사이드웨이,로맨스,3.7,3.5
아무도 모른다,드라마,4.0,4.0
극장전,드라마,3.3,3.0
"여자, 정혜",드라마,3.2,3.0
킨제이 보고서,드라마,2.9,2.5
미스 에이전트 2: 라스베가스 잠입사건,액션,2.8,2.5
미스 에이전트,액션,3.1,3.0
레이,드라마,3.8,3.5
미트 페어런츠 2,코미디,3.1,3.0
미트 페어런츠,코미디,3.3,3.0
청연,드라마,2.9,2.5
사하라,액션,2.8,2.5
트리플 엑스 2 - 넥스트 레벨,모험,2.9,2.5
트리플 엑스,액션,3.4,3.0
가발,미스터리,2.2,2.0
역전의 명수,코미디,2.4,2.0
미스터 히치: 당신을 위한 데이트 코치,코미디,3.3,3.0
오션스 일레븐,범죄,3.8,3.5
오션스 트웰브,범죄,3.6,3.5
레모니 스니켓의 위험한 대결,판타지,3.2,3.0
배트맨 비긴즈,액션,3.9,3.5
오로라 공주,범죄,2.9,2.5
쿵푸 허슬,드라마,3.6,3.5
남극일기,미스터리,2.7,2.5
새드 무비,로맨스,3.0,3.0
그때 그사람들,코미디,3.3,3.0
내셔널 트레져,액션,3.4,3.0
달콤한 인생,액션,3.9,3.5
B형 남자친구,로맨틱코미디,2.2,2.0
작업의 정석,코미디,2.9,2.5
스타워즈 에피소드 6: 제다이의 귀환,액션,4.0,3.5
스타워즈 에피소드 4: 새로운 희망,SF,3.9,3.5
스타워즈 에피소드 1: 보이지 않는 위험,SF,3.7,3.5
스타워즈 에피소드 5: 제국의 역습,SF,4.0,4.0
스타워즈 에피소드 2: 클론의 습격,SF,3.7,3.5
스타워즈 에피소드 3: 시스의 복수,SF,3.9,3.5
주먹이 운다,드라마,3.4,3.0
투스카니의 태양,드라마,3.6,3.5
지옥갑자원,스포츠,2.8,2.5
모두 하고 있습니까,코미디,2.9,2.5
그 여름 가장 조용한 바다,로맨스,3.9,3.5
마이 제너레이션,드라마,2.9,2.5
러브 인 아프리카,드라마,3.3,3.0
클린,드라마,3.4,3.0
영원과 하루,드라마,3.8,3.5
우작,드라마,3.8,3.5
춤추는 대수사선,범죄,3.4,3.0
노 맨스 랜드,드라마,3.3,3.0
취한 말들을 위한 시간,드라마,3.7,3.5
엘리펀트,드라마,3.8,3.5
배틀 로얄 2 - 레퀴엠,액션,2.3,2.0
배틀로얄,액션,2.9,2.5
"조제, 호랑이 그리고 물고기들",로맨스,3.9,3.5
레이디킬러,코미디,3.0,2.5
신석기 블루스,판타지,2.1,2.0
21 그램,드라마,3.6,3.5
빈 집,로맨스,3.0,3.0
모터싸이클 다이어리,드라마,3.7,3.5
쉘 위 댄스,로맨틱코미디,3.1,3.0
쉘 위 댄스,코미디,3.6,3.5
데스티네이션 2,공포,3.2,3.0
데스티네이션,공포,3.4,3.0
엑소시스트 4 - 비기닝,공포,2.5,2.0
2046,드라마,3.4,3.0
프린세스 다이어리 2,가족,3.5,3.0
프린세스 다이어리,코미디,3.6,3.5
헬보이,액션,3.3,3.0
캣우먼,판타지,2.5,2.5
"쓰리, 몬스터",공포,3.0,3.0
새벽의 저주,액션,3.7,3.5
폴라 익스프레스,판타지,3.5,3.0
세상의 중심에서 사랑을 외치다,틴에이저,3.5,3.5
화씨 9/11,다큐멘터리,3.5,3.0
페이첵,액션,3.3,3.0
꽃피는 봄이 오면,로맨스,3.3,3.0
80일간의 세계일주,액션,3.1,3.0
그 놈은 멋있었다,틴에이저,2.0,2.0
인크레더블,가족,3.8,3.5
맹부삼천지교,드라마,2.1,2.0
누구나 비밀은 있다,코미디,2.5,2.0
분신사바,공포,2.2,2.0
내 남자의 로맨스,로맨틱코미디,2.7,2.5
신부 수업,코미디,2.4,2.0
역도산,드라마,2.7,2.5
달마야 놀자,드라마,3.1,3.0
연인,드라마,3.5,3.5
연인,액션,3.2,3.0
주홍글씨,로맨스,2.8,2.5
브리짓 존스의 일기,코미디,3.7,3.5
브리짓 존스의 일기 - 열정과 애정,코미디,3.7,3.5
반 헬싱,판타지,3.2,3.0
알 포인트,공포,3.3,3.0
"아이, 로봇",스릴러,3.6,3.5
잠복근무,액션,2.8,2.5
가족,드라마,3.1,3.0
오페라의 유령,로맨스,3.8,3.5
댄서의 순정,로맨스,2.8,2.5
스파이더맨,액션,3.8,3.5
스파이더맨 2,액션,3.7,3.5
박수칠 때 떠나라,코미디,3.2,3.0
해리포터와 아즈카반의 죄수,판타지,3.9,3.5
귀신이 산다,코미디,2.9,2.5
어린 신부,코미디,2.9,2.5
아일랜드,스릴러,3.7,3.5
해리포터와 불의 잔,판타지,3.8,3.5
미스터 & 미세스 스미스,액션,3.6,3.5
친절한 금자씨,드라마,3.6,3.5
공공의 적 2,범죄,3.3,3.0
말아톤,스포츠,3.6,3.5
웰컴 투 동막골,코미디,3.7,3.5
해적: 바다로 간 산적,모험,3.3,3.0
해무,드라마,3.0,2.5
가디언즈 오브 갤럭시,코미디,4.0,4.0
명량,전쟁,3.6,3.5
마담 프루스트의 비밀정원,코미디,3.8,3.5
군도:민란의 시대,액션,3.2,3.0
프란시스 하,코미디,3.7,3.5
혹성탈출: 반격의 서막,액션,3.7,3.5
트랜스포머: 사라진 시대,액션,3.1,3.0
님포매니악 볼륨2,드라마,3.3,3.0
님포매니악 볼륨1,드라마,3.2,3.0
그린 존,액션,3.2,3.0
우는 남자,드라마,2.4,2.0
그레이트 뷰티,드라마,3.6,3.5
엣지 오브 투모로우,액션,3.9,3.5
끝까지 간다,범죄,3.8,3.5
디센트,모험,3.3,3.0
4.4.4.,공포,2.1,2.0
정사,드라마,2.9,2.5
용서받지 못한 자,드라마,3.7,3.5
에브리데이,가족,3.1,3.0
성룡의 신화,로맨스,2.8,2.5
신들의 전쟁,액션,2.8,2.5
세상에서 가장 아름다운 이별,드라마,3.8,3.5
마이애미 바이스,액션,3.1,3.0
로맨틱 크라운,로맨틱코미디,3.0,2.5
동해물과 백두산이,코미디,2.0,2.0
낮술,코미디,3.4,3.0
영웅본색,액션,3.9,3.5
벤허,모험,4.0,3.5
지구를 지켜라!,코미디,3.4,3.0
사랑도 리콜이 되나요,음악,3.4,3.0
러브레터,로맨스,4.0,3.5
언터처블: 1%의 우정,코미디,4.0,4.0
러브 어페어,로맨스,3.8,3.5
에이리언,공포,3.9,3.5
제인 에어,드라마,3.6,3.5
터미네이터,액션,3.9,3.5
사랑과 영혼,스릴러,3.8,3.5
아마데우스,음악,4.0,4.0
완전한 사육 - 신주쿠 여고생 납치사건,드라마,2.2,2.0
춤추는 대수사선 2,범죄,3.3,3.0
서양골동양과자점 앤티크,코미디,2.8,2.5
킬러들의 도시,드라마,3.4,3.0
도희야,드라마,3.2,3.0
엑스맨: 데이즈 오브 퓨처 패스트,액션,4.0,3.5
고질라,스릴러,2.8,2.5
스타로부터 스무 발자국,음악,3.5,3.0
인간중독,드라마,2.4,2.0
어메이징 스파이더맨 2,액션,3.7,3.5
방황하는 칼날,드라마,3.2,3.0
그녀,드라마,3.9,3.5
표적,드라마,3.2,3.0
역린,시대극,3.1,3.0
디태치먼트,드라마,3.9,3.5
파이트 클럽,드라마,4.1,4.0
슈렉 3,판타지,3.4,3.0
아이 엠 샘,드라마,4.0,4.0
노아,액션,2.9,2.5
만신,다큐멘터리,3.4,3.0
캡틴 아메리카: 윈터 솔져,액션,4.0,3.5
그랜드 부다페스트 호텔,드라마,4.0,3.5
한공주,드라마,3.7,3.5
천주정,드라마,3.7,3.5
우아한 거짓말,가족,3.5,3.0
몬스터,드라마,2.5,2.5
300: 제국의 부활,액션,3.2,3.0
비포 선셋,로맨스,4.0,3.5
뷰티풀 마인드,드라마,3.9,3.5
이오지마에서 온 편지,전쟁,3.5,3.5
줄리 & 줄리아,드라마,3.7,3.5
어바웃 어 보이,드라마,3.6,3.5
가타카,SF,4.0,3.5
아버지의 깃발,전쟁,3.5,3.0
가위손,판타지,3.9,3.5
아메리칸 뷰티,드라마,3.8,3.5
록키 호러 픽쳐 쇼,판타지,3.8,3.5
티파니에서 아침을,로맨스,3.8,3.5
로미오와 줄리엣,로맨스,3.7,3.5
샤이닝,공포,3.9,3.5
블루 발렌타인,드라마,3.7,3.5
더 울프 오브 월 스트리트,범죄,3.7,3.5
"가장 따뜻한 색, 블루",드라마,3.8,3.5
달라스 바이어스 클럽,드라마,3.8,3.5
이티,가족,3.9,3.5
12 몽키즈,미스터리,3.7,3.5
죽은 시인의 사회,드라마,4.2,4.0
비포 선라이즈,로맨스,4.1,4.0
머드,드라마,3.6,3.5
애프터 루시아,드라마,3.2,3.0
사랑에 빠진 것처럼,드라마,3.4,3.0
사이비,애니메이션,3.6,3.5
캡틴 필립스,드라마,3.6,3.5
화이 : 괴물을 삼킨 아이,액션,3.4,3.0
그렇게 아버지가 된다,드라마,3.9,3.5
일대종사,액션,3.3,3.0
히든,드라마,3.7,3.5
해리포터와 죽음의 성물 2,판타지,3.9,3.5
폭풍의 언덕,드라마,3.3,3.0
황산벌,코미디,3.0,3.0
플래닛 테러,공포,3.4,3.0
퍼블릭 에너미,범죄,3.1,3.0
하하하,드라마,3.6,3.5
행복,로맨스,3.2,3.0
폭력의 역사,범죄,3.7,3.5
판타스틱 플래닛,애니메이션,3.8,3.5
판타스틱 Mr. 폭스,가족,3.9,3.5
쿵푸팬더,애니메이션,3.7,3.5
타인의 삶,스릴러,4.0,4.0
타짜,드라마,4.1,4.0
클래스,드라마,3.7,3.5
파라노이드 파크,드라마,3.7,3.5
파주,드라마,2.8,2.5
팅커 테일러 솔저 스파이,드라마,3.6,3.5
트리 오브 라이프,드라마,3.4,3.0
티켓,드라마,3.7,3.5
캐빈 인 더 우즈,공포,3.2,3.0
제로 다크 서티,드라마,3.7,3.5
컬러풀,애니메이션,3.6,3.5
잘 알지도 못하면서,드라마,3.4,3.0
추격자,범죄,4.1,4.0
찰리와 초콜릿 공장,판타지,3.8,3.5
천년학,드라마,3.0,3.0
천하장사 마돈나,드라마,3.2,3.0
28일 후,드라마,3.7,3.5
여행자,드라마,3.7,3.5
우린 액션배우다,다큐멘터리,3.1,3.0
왕의 남자,드라마,3.8,3.5
짝패,범죄,3.3,3.0
인셉션,액션,4.4,4.0
인 더 컷,미스터리,2.8,2.5
익사일,범죄,3.3,3.0
엑스맨: 퍼스트 클래스,판타지,3.9,3.5
어벤져스,모험,4.2,4.0
아르마딜로,다큐멘터리,3.4,3.0
아티스트,코미디,3.8,3.5
아내의 애인을 만나다,드라마,2.8,2.5
엘라의 계곡,범죄,3.5,3.0
아는 여자,코미디,3.5,3.5
스캔들 - 조선남녀상열지사,시대극,3.0,3.0
스테이트 오브 플레이,공포,3.4,3.0
씨 인사이드,드라마,3.8,3.5
시라노; 연애조작단,로맨틱코미디,3.3,3.0
스타트렉 다크니스,액션,3.8,3.5
스토커,스릴러,3.5,3.5
시저는 죽어야 한다,드라마,3.6,3.5
시스터,드라마,3.7,3.5
사라의 열쇠,드라마,3.6,3.5
사랑을 카피하다,드라마,3.6,3.5
세계,드라마,3.4,3.0
쓰리 타임즈,로맨스,3.3,3.0
"색, 계",드라마,3.6,3.5
스카우트,스포츠,3.1,3.0
"사랑해, 말순씨",코미디,2.9,2.5
새드 배케이션,드라마,2.9,2.5
"4개월, 3주... 그리고 2일",드라마,3.8,3.5
비몽,드라마,2.8,2.5
범죄의 재구성,범죄,3.8,3.5
부당거래,범죄,3.9,3.5
붉은 돼지,판타지,3.6,3.5
보리밭을 흔드는 바람,드라마,3.8,3.5
브로큰 플라워,코미디,3.7,3.5
베를린,스릴러,3.5,3.5
베리드,드라마,3.5,3.0
미요코,드라마,3.3,3.0
문라이즈 킹덤,드라마,3.7,3.5
미드나잇 인 파리,코미디,3.9,3.5
빨간 구두,드라마,3.3,3.0
미션 임파서블 : 고스트 프로토콜,액션,3.9,3.5
미스틱 리버,범죄,3.7,3.5
미스 리틀 선샤인,드라마,3.9,3.5
미스트,드라마,3.4,3.0
무산일기,드라마,3.6,3.5
마츠가네 난사사건,드라마,3.3,3.0
말죽거리 잔혹사,드라마,3.4,3.0
로큰롤 인생,다큐멘터리,3.7,3.5
멋진 하루,로맨스,3.5,3.0
마터스: 천국을 보는 눈,공포,3.2,3.0
만추,로맨스,3.3,3.0
링컨,드라마,3.4,3.0
메모리즈,판타지,3.7,3.5
드라이브,범죄,3.7,3.5
디어 한나,드라마,3.4,3.0
돼지의 왕,애니메이션,3.5,3.0
드래곤 길들이기,애니메이션,3.9,3.5
똥파리,드라마,3.7,3.5
라스트 데이즈,음악,3.4,3.0
라푼젤,로맨스,4.0,3.5
라디오 스타,드라마,3.5,3.0
로나의 침묵,드라마,3.8,3.5
더 브레이브,모험,3.6,3.5
데쓰 프루프,공포,3.4,3.0
대단한 유혹,코미디,3.4,3.0
도쿄 소나타,드라마,3.7,3.5
다크 나이트 라이즈,액션,4.1,4.0
도둑들,범죄,3.8,3.5
도쿄!,드라마,3.4,3.0
더 차일드,범죄,3.8,3.5
더 헌트,드라마,3.8,3.5
남영동1985,드라마,3.3,3.0
누구의 딸도 아닌 해원,드라마,3.4,3.0
다른나라에서,드라마,3.3,3.0
"나의 친구, 그의 아내",드라마,2.6,2.5
나무없는 산,드라마,3.4,3.0
김복남 살인사건의 전말,스릴러,3.3,3.0
다이 하드 4.0,액션,3.6,3.5
귀향,코미디,3.8,3.5
그때 거기 있었습니까?,드라마,3.6,3.5
굿 셰퍼드,로맨스,3.4,3.0
꼬마 니콜라,키즈,3.6,3.5
그녀를 믿지 마세요,로맨틱코미디,3.0,3.0
"광해, 왕이 된 남자",시대극,4.0,3.5
굿바이 칠드런,드라마,3.7,3.5
공기인형,드라마,2.8,2.5
고지전,드라마,3.5,3.5
거기엔 래퍼가 없다,드라마,3.3,3.0
어바웃 타임,판타지,4.3,4.0
건축학개론,로맨스,3.5,3.5
월터의 상상은 현실이 된다,모험,3.8,3.5
겨울왕국,모험,4.0,3.5
변호인,드라마,4.1,4.0
잉투기,액션,3.2,3.0
고고70,음악,3.0,2.5
강령,스릴러,3.4,3.0
황색 눈물,드라마,3.1,3.0
황혼의 사무라이,액션,3.4,3.0
러시안 소설,드라마,3.1,3.0
소원,드라마,3.9,3.5
우리 선희,드라마,3.5,3.0
올 이즈 로스트,액션,3.5,3.5
컨저링,스릴러,3.2,3.0
쇼를 사랑한 남자,음악,3.2,3.0
화차,스릴러,3.4,3.0
헤어드레서,드라마,3.2,3.0
호빗 : 뜻밖의 여정,판타지,3.7,3.5
형사 Duelist,액션,2.7,2.5
호우시절,로맨스,3.1,3.0
해프닝,미스터리,3.0,2.5
호로비츠를 위하여,드라마,3.2,3.0
"혜화,동",드라마,3.4,3.0
"행복한 엠마, 행복한 돼지 그리고 남자",로맨틱코미디,3.4,3.0
하프웨이,틴에이저,3.2,3.0
하비의 마지막 로맨스,드라마,3.3,3.0
하늘에서 음식이 내린다면,애니메이션,3.4,3.0
피터 팬의 공식,드라마,2.9,2.5
피쉬 스토리,드라마,3.5,3.5
플라이트 93,드라마,3.6,3.5
플레이스 비욘드 더 파인즈,범죄,3.7,3.5
피에타,드라마,3.1,3.0
하류인생,드라마,2.8,2.5
퍼시픽 림,SF,3.2,3.0
파닥파닥,애니메이션,3.4,3.0
팩토리 걸,드라마,3.5,3.0
파라노말 액티비티,공포,3.1,3.0
프레스티지,드라마,3.8,3.5
프리다,드라마,3.6,3.5
파이터,드라마,3.7,3.5
패션 오브 크라이스트,드라마,3.6,3.5
폭력써클,드라마,3.0,2.5
타운,범죄,3.2,3.0
투야의 결혼,로맨스,3.5,3.5
트로이,로맨스,3.7,3.5
킹스 스피치,드라마,3.7,3.5
태극기 휘날리며,전쟁,3.8,3.5
틴틴 : 유니콘호의 비밀,애니메이션,3.2,3.0
토끼 울타리,드라마,3.1,3.0
카운트다운,스릴러,2.8,2.5
크로니클,드라마,3.4,3.0
코파카바나,코미디,3.4,3.0
크레이지 하트,로맨스,3.5,3.5
콜드 마운틴,전쟁,3.4,3.0
카우보이 비밥 - 천국의 문,애니메이션,3.9,3.5
카페 느와르,로맨스,2.8,2.5
카모메 식당,드라마,3.7,3.5
주노,코미디,3.3,3.0
7급 공무원,코미디,3.1,3.0
체인질링,범죄,3.5,3.0
"좋은 놈, 나쁜 놈, 이상한 놈",서부극,3.5,3.0
초(민망한)능력자들,코미디,2.9,2.5
최종병기 활,액션,3.6,3.5
준벅,드라마,3.5,3.0
조금만 더 가까이,로맨스,2.9,2.5
인 어 베러 월드,드라마,3.8,3.5
1408,공포,3.3,3.0
인디아나 존스: 크리스탈 해골의 왕국,액션,3.5,3.5
작전명 발키리,드라마,3.3,3.0
잠수종과 나비,드라마,3.7,3.5
이스턴 프라미스,범죄,3.7,3.5
적인걸: 측천무후의 비밀,액션,3.1,3.0
이층의 악당,스릴러,2.9,2.5
이퀼리브리엄,액션,3.7,3.5
우리들의 행복한 시간,로맨스,3.6,3.5
우리 생애 최고의 순간,드라마,3.4,3.0
윈터스 본,드라마,3.3,3.0
월래스와 그로밋 : 거대토끼의 저주,애니메이션,3.6,3.5
웰컴,드라마,3.2,3.0
워 호스,드라마,3.5,3.0
월드워Z,액션,3.8,3.5
이끼,드라마,3.3,3.0
열혈남아,드라마,3.0,2.5
연애의 온도,로맨틱코미디,3.5,3.5
오블리비언,액션,3.5,3.0
50/50,코미디,3.6,3.5
완득이,드라마,3.4,3.0
오! 브라더스,코미디,2.9,2.5
영화는 영화다,액션,3.3,3.0
여자는 남자의 미래다,로맨스,2.8,2.5
오션스 13,범죄,3.7,3.5
엘레지,로맨스,3.1,3.0
애자,드라마,3.3,3.0
악마는 프라다를 입는다,드라마,3.9,3.5
A-특공대,액션,3.7,3.5
여배우들,드라마,2.7,2.5
어톤먼트,드라마,3.8,3.5
어메이징 스파이더맨,액션,3.8,3.5
애니멀 타운,드라마,2.9,2.5
아카시아,공포,2.2,2.0
아타나주아,드라마,3.6,3.5
싱글 맨,드라마,3.7,3.5
실버라이닝 플레이북,코미디,3.7,3.5
심슨 가족: 더 무비,애니메이션,3.8,3.5
아라한 장풍대작전,코미디,3.0,2.5
아빠의 화장실,드라마,3.1,3.0
아이언맨,SF,4.2,4.0
시리아나,드라마,3.4,3.0
스타트렉: 더 비기닝,액션,3.8,3.5
스타스키와 허치,액션,3.0,2.5
슬럼독 밀리어네어,드라마,3.9,3.5
스트레인저 - 무황인담,액션,3.6,3.5
신세계,드라마,4.2,4.0
스플라이스,공포,2.8,2.5
실락원,로맨스,3.0,3.0
신의 소녀들,드라마,3.2,3.0
슈퍼 에이트,액션,3.1,3.0
소스 코드,액션,3.7,3.5
슈퍼배드,애니메이션,3.8,3.5
선샤인 클리닝,코미디,3.4,3.0
소년 메리켄사쿠,음악,3.2,3.0
스위니 토드: 어느 잔혹한 이발사 이야기,공포,3.3,3.0
스카이 크롤러,액션,3.3,3.0
썸머 워즈,판타지,3.7,3.5
브로큰 임브레이스,로맨스,3.5,3.5
싸이보그지만 괜찮아,드라마,2.4,2.0
비카인드 리와인드,드라마,3.5,3.0
비지터,드라마,3.4,3.0
블러디 선데이,드라마,3.7,3.5
사과,로맨스,3.3,3.0
선샤인,모험,3.4,3.0
사랑할 때 버려야 할 아까운 것들,로맨틱코미디,3.5,3.0
사운드 오브 노이즈,코미디,3.5,3.5
사생결단,범죄,3.5,3.5
불신지옥,스릴러,2.9,2.5
불청객,판타지,2.9,2.5
부러진 화살,드라마,3.4,3.0
볼트,애니메이션,3.3,3.0
번 애프터 리딩,드라마,3.4,3.0
브라더후드,드라마,2.7,2.5
베오울프,판타지,2.7,2.5
벤자민 버튼의 시간은 거꾸로 간다,판타지,3.8,3.5
뮌헨,액션,3.4,3.0
믹막: 티르라리고 사람들,범죄,3.5,3.5
미스터 브룩스,범죄,3.3,3.0
밴드 비지트 - 어느 악단의 조용한 방문,드라마,3.5,3.5
127 시간,드라마,3.4,3.0
밀크,드라마,3.5,3.5
미 앤 유 앤 에브리원,드라마,3.7,3.5
밀레니엄 : 여자를 증오한 남자들,범죄,3.5,3.5
"미안해, 고마워",드라마,3.4,3.0
목격자,범죄,2.9,2.5
더 블루스 - 소울 오브 맨,드라마,3.7,3.5
헝거게임: 캣칭 파이어,액션,3.9,3.5
호빗: 스마우그의 폐허,판타지,3.8,3.5
메가마인드,애니메이션,3.4,3.0
묵공,액션,2.9,2.5
메종 드 히미코,드라마,3.6,3.5
더 리더: 책 읽어주는 남자,로맨스,3.7,3.5
로봇,액션,2.7,2.5
호텔 르완다,드라마,3.7,3.5
후회하지 않아,드라마,2.8,2.5
효자동 이발사,드라마,3.2,3.0
황당한 외계인: 폴,모험,3.2,3.0
회오리 바람,드라마,3.2,3.0
관상,드라마,3.7,3.5
카운슬러,범죄,3.0,2.5
가시꽃,드라마,3.1,3.0
롤러코스터,코미디,2.8,2.5
헬프,드라마,4.0,4.0
헝거게임: 판엠의 불꽃,액션,3.8,3.5
한나,액션,2.9,2.5
해운대,액션,3.3,3.0
해리포터와 죽음의 성물 1,판타지,3.8,3.5
할람 포,드라마,3.4,3.0
헬보이 2: 골든 아미,액션,3.3,3.0
해리포터와 불사조 기사단,판타지,3.8,3.5
행오버,드라마,3.6,3.5
프로포즈,로맨틱코미디,3.5,3.5
하나,드라마,2.8,2.5
하녀,스릴러,2.9,2.5
필립 모리스,코미디,3.4,3.0
플라이트플랜,공포,3.4,3.0
프로메테우스,SF,3.6,3.5
플레이,음악,3.1,3.0
페이스 메이커,드라마,3.1,3.0
퍼펙트 게임,드라마,3.5,3.0
페인티드 베일,드라마,3.6,3.5
페넬로피,판타지,3.3,3.0
폴리와 함께,로맨틱코미디,3.0,2.5
포 미니츠,음악,3.7,3.5
프라임 러브,로맨틱코미디,3.1,3.0
톨스토이의 마지막 인생,드라마,3.3,3.0
트론: 새로운 시작,액션,3.1,3.0
퍼니 게임,공포,3.2,3.0
파퍼씨네 펭귄들,코미디,3.4,3.0
파란 자전거,드라마,2.4,2.0
파이널 컷,스릴러,3.1,3.0
테이킹 우드스탁,코미디,3.5,3.0
크레이지,공포,3.1,3.0
킬링 소프틀리,범죄,3.1,3.0
킹덤,액션,3.3,3.0
키핑 멈,코미디,2.8,2.5
터미네이터: 미래전쟁의 시작,액션,3.5,3.0
클로버필드,액션,3.4,3.0
킹콩을 들다,스포츠,3.2,3.0
컨트롤,음악,3.5,3.5
퀴즈왕,코미디,2.6,2.5
캐리비안의 해적 - 세상의 끝에서,액션,3.9,3.5
캐리비안의 해적 - 블랙 펄의 저주,액션,4.0,3.5
퀵,액션,2.9,2.5
코스모폴리스,범죄,2.8,2.5
쿵푸팬더 2,애니메이션,3.5,3.5
칠판,드라마,3.4,3.0
체포왕,코미디,2.9,2.5
천국의 아이들,드라마,3.3,3.0
초능력자,드라마,2.8,2.5
찰리 윌슨의 전쟁,드라마,2.9,2.5
참을 수 없는 사랑,로맨틱코미디,2.9,2.5
청설,드라마,3.8,3.5
천년여우 여우비,애니메이션,3.5,3.0
전우치,코미디,3.4,3.0
착신아리,공포,2.7,2.5
집행자,드라마,3.0,2.5
GP506,공포,2.8,2.5
입술은 안돼요,코미디,2.6,2.5
"지금, 이대로가 좋아요",드라마,3.4,3.0
차례로 익사시키기,드라마,3.5,3.5
전설의 주먹,드라마,3.2,3.0
의뢰인,스릴러,3.5,3.0
은교,로맨스,2.9,2.5
유령 신부,판타지,3.6,3.5
의형제,드라마,3.5,3.0
음란서생,코미디,2.8,2.5
유령 작가,드라마,3.1,3.0
20세기 소년,판타지,2.6,2.5
우아한 세계,범죄,3.5,3.5
우리가 꿈꾸는 기적: 인빅터스,스포츠,3.4,3.0
외출,드라마,2.6,2.5
웨이 백,드라마,3.5,3.5
용의자X,드라마,3.2,3.0
웜 바디스,코미디,3.3,3.0
우리에겐 교황이 있다,드라마,3.2,3.0
여섯 개의 시선,드라마,3.3,3.0
열두 명의 웬수들,가족,3.2,3.0
여행,드라마,3.1,3.0
5x2,로맨스,2.9,2.5
언 애듀케이션,드라마,3.5,3.0
8명의 여인들,스릴러,3.5,3.0
에반 올마이티,코미디,3.3,3.0
연애,드라마,2.5,2.5
어웨이 위 고,로맨틱코미디,3.6,3.5
아저씨,드라마,3.9,3.5
...ing,드라마,3.0,3.0
어머니는 죽지 않는다,드라마,2.7,2.5
어웨이 프롬 허,드라마,3.5,3.0
아홉살 인생,드라마,3.3,3.0
악인,드라마,3.1,3.0
아이스케키,가족,2.9,2.5
아웃 오브 타임,범죄,3.1,3.0
아이덴티티,공포,4.0,4.0
심야의 FM,스릴러,3.0,2.5
"시네도키, 뉴욕",드라마,3.8,3.5
스파이더맨 3,액션,3.7,3.5
실미도,전쟁,3.7,3.5
아내가 결혼했다,드라마,3.2,3.0
수퍼맨 리턴즈,판타지,3.1,3.0
아웃레이지,드라마,3.5,3.0
슈렉 포에버,판타지,3.4,3.0
숨,드라마,3.2,3.0
수면의 과학,코미디,3.5,3.5
쌍화점,시대극,2.8,2.5
샴,드라마,2.4,2.0
서핑 업,애니메이션,3.2,3.0
써니,드라마,4.0,3.5
"사랑을 부르는, 파리",로맨틱코미디,3.2,3.0
블라인드,스릴러,3.4,3.0
"사랑한다, 사랑하지 않는다",로맨스,2.8,2.5
비우티풀,드라마,3.7,3.5
블랙북,드라마,3.5,3.5
사마리아,드라마,2.8,2.5
블라인드 사이드,드라마,4.0,3.5
붉은 다리 아래 따뜻한 물,코미디,2.8,2.5
분노의 질주: 더 오리지널,액션,3.8,3.5
바람,드라마,3.9,3.5
밝은 미래,드라마,3.3,3.0
뻔뻔한 딕 & 제인,범죄,3.3,3.0
발렌타인 데이,로맨틱코미디,3.1,3.0
뱅크 잡,범죄,3.5,3.0
반두비,드라마,2.9,2.5
바람과 함께 사라지다,시대극,3.2,3.0
버니,코미디,3.2,3.0
방자전,드라마,3.0,3.0
모비딕,스릴러,3.0,3.0
메리다와 마법의 숲,애니메이션,3.5,3.5
미운 오리 새끼,드라마,3.2,3.0
미필적 고의에 의한 여름휴가,드라마,3.2,3.0
미스터 빈의 홀리데이,드라마,3.4,3.0
모범시민,액션,3.6,3.5
