code,title,year,genres,ratings_avg
mdBzP4A,택시운전사,2017,"['가족', '드라마']",4.0
m5DAkBW,엑스맨: 데이즈 오브 퓨처 패스트,2014,"['액션', 'SF', '모험', '판타지']",4.0
mOgBKLA,디지몬 어드벤처 1기: 운명적 만남,1999,"['애니메이션', '가족', '액션', '모험', '판타지', 'SF', '스릴러']",4.1
mXOgkAO,인어 공주,1989,"['애니메이션', '가족', '판타지', '키즈']",4.0
mObGGj7,베테랑,2014,"['액션', '드라마', '범죄']",4.0
m5xDb35,"그 시절, 우리가 좋아했던 소녀",2011,"['드라마', '코미디', '로맨스', '로맨틱코미디']",4.0
mOVv6zO,스타워즈 에피소드 6: 제다이의 귀환,1983,"['액션', '모험', '판타지', 'SF']",4.0
m5DG9Ye,오믈렛,2013,['애니메이션'],4.0
mWJnoLW,그리고 삶은 계속된다,1991,"['모험', '드라마']",3.9
mBOkmE5,스카페이스,1983,"['드라마', '범죄', '액션']",4.0
md7ZNeO,언더그라운드,1995,"['드라마', '코미디']",4.0
mWyXDK5,그랜드 부다페스트 호텔,2014,"['드라마', '코미디', '모험']",4.0
mO0g0yL,극장판 암살교실: 365일의 시간,2016,['애니메이션'],4.0
mdMgV4W,사랑은 비를 타고,1952,"['음악', '로맨틱코미디', '코미디', '드라마']",4.0
mdE09AO,레미제라블,2012,"['드라마', '역사', '로맨스', '전쟁']",4.0
mAd7JBO,잔 다르크의 수난,1928,"['역사', '드라마']",4.0
mnOojNW,로마의 휴일,1953,"['로맨스', '로맨틱코미디', '드라마']",4.0
mdEw9nb,위플래쉬,2014,"['드라마', '음악']",4.0
m2WyY6W,인생,1994,['드라마'],4.0
mdEwDEW,국외자들,1964,"['드라마', '범죄']",3.9
mO1V9wd,모던 타임즈,1936,"['코미디', '드라마']",4.0
mdRLEDb,먼 훗날 우리,2018,"['로맨스', '드라마']",3.9
m5mx6xd,캐스트 어웨이,2000,"['모험', '드라마', '로맨스']",4.0
mn5NgpW,세상의 모든 계절,2010,['드라마'],4.0
mOAVmGd,라이프 오브 파이,2012,"['판타지', '드라마', '모험']",4.0
mW93a1d,라푼젤,2010,"['로맨스', '가족', '판타지', '코미디', '애니메이션', '모험', '키즈']",4.0
mNdKged,중경삼림,1994,"['로맨스', '드라마']",4.0
mOo0AGa,자니 익스프레스,2014,"['애니메이션', '단편']",4.0
mW4La3e,내부자들,2015,"['범죄', '드라마']",4.0
m45neYd,브레이브하트,1995,"['드라마', '역사', '전쟁']",4.0
mdMgjJW,더 폴: 오디어스와 환상의 문,2006,"['모험', '드라마', '판타지']",4.0
m1Wwo7W,좋은 친구들,1990,"['드라마', '범죄', '스릴러']",4.0
mOAmrPO,현기증,1958,"['스릴러', '범죄', '드라마', '액션']",4.0
mQO8b5R,러브레터,1995,['로맨스'],4.0
mOgBDaW,펄프 픽션,1994,"['범죄', '스릴러', '코미디']",4.0
mwWLpkW,가타카,1997,"['SF', '드라마', '스릴러']",4.0
mdjaQlO,다이 하드,1988,"['액션', '스릴러', '범죄']",4.0
mJO1n8d,마이너리티 리포트,2002,"['액션', '범죄', '미스터리', 'SF', '스릴러']",4.0
m5rB0R5,싸이코,1960,"['공포', '스릴러']",4.0
m85X415,비정성시,1989,['드라마'],4.0
m533D65,스팅,1973,"['범죄', '드라마', '코미디']",4.0
mAOlELd,선셋 대로,1950,"['드라마', '범죄']",4.0
mdRLYKW,벤허,1959,"['모험', '역사', '로맨스', '드라마', '액션']",4.0
m2WyrYO,비포 선셋,2004,"['로맨스', '드라마']",4.0
mmObBnO,프라이멀 피어,1996,"['범죄', '드라마', '미스터리', '스릴러']",4.0
m5aMDM5,케빈에 대하여,2011,"['드라마', '미스터리', '스릴러']",4.0
mWyJK8r,플로리다 프로젝트,2017,['드라마'],4.0
mOo0ePd,월레스와 그로밋 - 걸작선,1996,"['애니메이션', '가족']",4.0
mWyJbEk,나의 소녀시대,2015,"['로맨스', '로맨틱코미디']",4.0
mWpmGpK,서프러제트,2015,"['드라마', '역사']",4.0
mgOAvld,중앙역,1998,['드라마'],3.9
mOgB16n,더 페이버릿: 여왕의 여자,2018,"['드라마', '역사']",3.9
mMO2axW,블라인드 사이드,2009,['드라마'],4.0
mV53EwO,코미디의 왕,1983,"['드라마', '범죄', '코미디']",4.0
mdjD4rW,당나귀 발타자르,1966,['드라마'],4.0
mOk3PkO,방랑자,1985,['드라마'],3.9
mWzwmDO,저수지의 개들,1992,"['범죄', '드라마', '스릴러']",3.9
m5xJ4Pr,아이 오리진스,2014,"['드라마', '로맨스', 'SF']",4.0
my5Y83d,노팅 힐,1999,"['로맨스', '로맨틱코미디']",4.0
m5xw62g,1917,2019,"['드라마', '전쟁']",4.2
mQO8YGd,나 홀로 집에,1990,"['가족', '코미디']",4.0
mLOP7lW,바람,2009,"['드라마', '액션']",3.9
mNdKwzd,토이 스토리 2,1999,"['애니메이션', '모험', '코미디', '가족', '판타지', '키즈']",4.0
m5mQ9z5,"광해, 왕이 된 남자",2012,"['시대극', '드라마', '역사']",4.0
m5eQyz5,아이언맨 2,2010,"['SF', '액션', '모험']",4.0
mWLjwjd,라스트 홀리데이,2006,"['모험', '드라마', '코미디']",4.0
