title,content_type,ratings_avg,movie_code
토이 스토리 4,movies,3.9,m5XV8LO
월-E,movies,4.1,m45nnY5
매드맥스: 분노의 도로,movies,4.1,mWzVYBW
양들의 침묵,movies,4.0,mOo01Ld
노킹 온 헤븐스 도어,movies,3.9,m5ZXDlO
쓰리 빌보드,movies,4.0,m5nQKYy
캐치 미 이프 유 캔,movies,4.1,mYdEnE5
희생,movies,4.0,m5roj3W
모노노케 히메,movies,4.0,mnWJ1n5
그을린 사랑,movies,4.0,m5Qj0JW
아이덴티티,movies,4.0,m6dRKb5
아녜스가 말하는 바르다,movies,4.0,mWLDaer
무간도,movies,4.1,mZ5eLdA
미션 임파서블,movies,4.0,mY5QaG5
나비 효과,movies,4.0,my5YwlO
오페라의 유령 : 25주년 특별 공연,movies,4.0,m5NMpXd
극장판 짱구는 못말려 9기: 어른 제국의 역습,movies,4.1,m5rQ8bd
생산적 활동,movies,4.0,mWJyZyx
우리들,movies,4.0,mOo0P9a
더 픽사 스토리,movies,4.0,mO2MrKQ
레퀴엠,movies,4.0,moW4PXW
덩케르크,movies,4.0,m5NVjDa
1987,movies,4.0,m5aVMGQ
러브 액츄얼리,movies,4.0,mBOkbkW
말할 수 없는 비밀,movies,4.0,mJ5xvEO
스노우맨,movies,4.0,m5aVBxN
빌리 엘리어트,movies,4.1,mMO2La5
스튜어트: 어 라이프 백워즈,movies,4.0,m5Y66lv
리틀 네모,movies,4.0,mOgZVAW
천원돌파 그렌라간 극장판 - 나암편,movies,4.1,mdjwqo5
이웃집 토토로,movies,4.0,mJOVYNW
위플래쉬 (단편),movies,4.0,mdjanY9
아마데우스,movies,4.0,mr5ZXlO
스타워즈 에피소드 5: 제국의 역습,movies,4.0,moW43q5
모드의 집에서 하룻밤,movies,4.0,mOoX4Md
바람과 함께 사라지다,movies,4.0,mXOgMN5
이프 온리,movies,4.0,m45nPDO
나무를 심은 사람,movies,4.0,mO0gZyv
원피스 극장판 9기 - 에피소드 오브 쵸파,movies,4.0,m5DGw0d
지상의 밤,movies,4.0,mgdMewd
다시 태어나도 우리,movies,4.0,mW4Lxjl
가디언즈 오브 갤럭시,movies,4.0,mW9xB85
아이 엠 샘,movies,4.0,mr5ZGLW
동급생,movies,4.1,mdEw3GE
로제타,movies,4.0,mBOkx8d
동경 이야기,movies,4.0,mdBaePO
