제목,장르,총 평점
페르디난드 더 불,애니메이션,3.2
페르디난드,코미디,3.2
연인,드라마,3.5
연인,액션,3.2
곰돌이 푸,애니메이션,3.8
메이즈 러너: 데스 큐어,SF,3.3
메리와 마녀의 꽃,판타지,2.8
황후화,액션,3.2
더 빅 보이,판타지,3.2
인어공주 ,드라마,2.6
비틀 드라이브,코미디,3.1
쥬만지: 새로운 세계,액션,3.4
다키스트 아워,드라마,3.7
피트니스 스캔들,코미디,2.3
히로시마 내 사랑,로맨스,3.4
셰이프 오브 워터: 사랑의 모양,모험,3.9
너의 췌장을 먹고 싶어,로맨스,3.3
스노우맨,범죄,2.3
원더,가족,4.2
주피터 어센딩,액션,2.4
레모네이드 마우스,틴에이저,3.1
위대한 쇼맨,드라마,3.8
블랙 팬서,액션,3.5
패딩턴 2,드라마,3.8
레고 닌자고 무비,액션,2.9
다운사이징,SF,2.6
오페라의 유령 : 25주년 특별 공연,드라마,4.0
베이비 드라이버,액션,3.7
코코,애니메이션,4.0
올라프의 겨울왕국 어드벤처,애니메이션,3.2
튤립 피버,로맨스,2.8
1987,드라마,4.0
이 세상의 한구석에,애니메이션,3.7
스티브 지소와의 해저 생활,액션,3.6
투 러버스 앤 베어,드라마,3.0
로즈,드라마,3.2
헛소동,로맨스,3.0
로그 원: 스타워즈 스토리,액션,3.6
오리엔트 특급 살인,범죄,3.1
범죄도시,범죄,3.9
내 사랑,드라마,3.8
아이 캔 스피크,드라마,3.9
블레이드 러너 2049,액션,3.7
문라이트,드라마,3.8
키드냅,범죄,2.8
토니 에드만,코미디,3.8
그녀와 그녀의 고양이: 흘러가는 시간들,애니메이션,3.7
크리스마스 스타!,코미디,3.2
토탈 리콜,액션,3.7
저스티스 리그,판타지,2.8
미스 슬로운,스릴러,4.1
적과의 동침,드라마,3.4
레이디 맥베스,로맨스,3.5
그들이 진심으로 엮을 때,드라마,3.7
디스턴스,드라마,3.5
M. 버터플라이,로맨스,3.4
퍼니 게임,범죄,3.5
피아니스트,드라마,3.6
해피 데스데이,공포,3.2
빌리 엘리어트 뮤지컬 라이브,코미디,4.1
스타 탄생,로맨스,3.7
신체 강탈자의 침입,드라마,3.7
잠깐만 회사 좀 관두고 올게,드라마,3.0
메카닉,액션,3.4
유리정원,미스터리,2.7
춤추는 대수사선 2,범죄,3.3
카3: 새로운 도전,애니메이션,3.3
포카혼타스 2,애니메이션,2.8
춤추는 대수사선,범죄,3.4
토르: 라그나로크,액션,3.9
라이언,드라마,3.7
카 2,애니메이션,3.1
아버지와 이토씨,드라마,3.4
내 아내와 결혼해 주세요,로맨스,2.9
해프닝,미스터리,3.0
파운더,드라마,3.6
지오스톰,SF,2.9
이모티: 더 무비,애니메이션,2.9
아이 앰 히스 레저,다큐멘터리,3.8
제니스 웨딩,코미디,3.4
괴물의 아이,판타지,3.8
복성고조,액션,3.0
밴디다스,서부극,2.8
7년-그들이 없는 언론,다큐멘터리,3.4
그녀를 믿지 마세요,로맨틱코미디,3.0
메달리온,액션,2.7
더 보스,코미디,2.5
스타스트럭,미국,2.8
킹스맨: 골든 서클,액션,3.4
킨키 부츠,드라마,3.5
마더!,스릴러,3.4
어느 하녀의 일기 ,드라마,2.7
하트스톤,드라마,3.5
몬스터,범죄,3.6
발레리안 : 천 개 행성의 도시,액션,3.3
치어 댄스,코미디,3.3
재키,드라마,3.2
아토믹 블론드,액션,3.4
더 바,코미디,2.8
카고,드라마,3.9
뮤리엘의 웨딩,드라마,3.4
피치걸,로맨스,2.9
메카닉: 리크루트,액션,2.8
오란고교 호스트부,코미디,2.0
언노운 걸,스릴러,3.4
언더월드,액션,3.4
그것,스릴러,3.0
더 테이블,드라마,3.4
택시운전사,가족,4.0
DOA,액션,2.4
파워레인져스: 더 비기닝,액션,2.5
오늘의 키라군,로맨스,3.5
빨간머리 앤 - 선생님이 된 앤,캐나다,3.9
빨강머리 앤,드라마,4.2
더 서클,드라마,2.9
분노,드라마,3.8
하루,미스터리,2.9
감기,드라마,3.2
레미제라블 25주년 런던 라이브 공연,드라마,4.3
공범자들,다큐멘터리,3.7
덩케르크,역사,4.0
페어런트 트랩,로맨스,3.9
개에게 처음 이름을 지어준 날,드라마,3.3
루팡 3세: 칼리오스트로의 성,액션,3.5
안달루시아의 개,판타지,3.4
플란다스의 개,드라마,3.4
왕자와 무희,로맨틱코미디,3.2
해적,로맨틱코미디,3.6
쇼처럼 즐거운 인생은 없다,음악,3.1
박쥐,로맨스,3.3
조지 & A.J.,애니메이션,3.3
심야식당 2,드라마,3.8
이스터 퍼레이드,로맨스,3.5
썸머 스톡,미국,3.6
사도,시대극,3.7
슈퍼배드 3,애니메이션,3.4
데스 노트,스릴러,1.8
블랑섹의 기이한 모험,판타지,3.1
킬러의 보디가드,스릴러,3.7
밀양,드라마,3.6
허트 로커,드라마,3.8
범죄의 재구성,범죄,3.8
로우,드라마,3.6
더 도어,드라마,3.5
빅쇼트,드라마,3.8
레볼루셔너리 로드,드라마,3.9
아이히만 쇼,드라마,3.5
지니어스,드라마,3.3
재즈 싱어,드라마,3.2
리얼,액션,1.1
몬테 크리스토 백작,액션,3.5
오! 수정,코미디,3.2
파도가 지나간 자리,드라마,3.6
롱기스트 라이드,로맨스,3.5
밀정,드라마,3.6
주홍글씨,드라마,2.9
핑크 플로이드의 벽,드라마,3.8
스노든,드라마,3.5
밤의 해변에서 혼자,드라마,3.4
완다라는 이름의 물고기,범죄,3.3
박열,시대극,3.6
악녀,액션,3.1
아주 긴 변명,드라마,3.6
디 아워스,드라마,3.7
누구나 비밀은 있다,코미디,2.5
레이디킬러,코미디,3.0
존 윅 - 리로드,범죄,3.6
반드시 크게 들을 것,음악,3.4
노무현입니다,다큐멘터리,3.8
인사이드 르윈,코미디,3.7
로슈포르의 숙녀들,코미디,3.8
버스 657,액션,3.0
카모메 식당,드라마,3.7
의형제,드라마,3.5
고질라,액션,2.9
세 가지 색 : 블루,드라마,3.6
베티블루 37.2,로맨스,3.7
드라이브,범죄,3.7
문영,드라마,3.3
레이디 수잔,코미디,3.1
결혼하지 않아도 괜찮을까,드라마,3.3
콩: 스컬 아일랜드,SF,2.9
레고 배트맨 무비,가족,3.5
헌츠맨: 윈터스 워,액션,2.7
미이라,액션,2.7
바람의 검심 : 전설의 최후편,액션,3.6
바람의 검심 : 교토 대화재편,액션,3.5
