title,director,content_type,genres,nation,year,ratings_avg,movie_code
남매의 집,['조성희'],movies,['스릴러'],한국,2009,3.7,mdBzzVz
뉴스페이퍼맨 - 어느 신문지국장의 죽음,['김은경'],movies,[],한국,2008,3.8,mOl4ZDN
유랑시대,['김보라'],movies,[],한국,2008,3.1,mW93oRB
도둑 맞은 남자,['마티아스 피네이로'],movies,[],아르헨티나,2007,2.9,mO11wPO
인랜드,['타리크 테기아'],movies,['다큐멘터리'],프랑스,2008,3.8,mOAMymO
우린 액션배우다,['정병길'],movies,['다큐멘터리'],한국,2008,3.1,mLOP1Pd
낮술,['노영석'],movies,"['드라마', '코미디']",한국,2008,3.4,mgdM9ld
나의 마음은 지지 않았다,['안해룡'],movies,"['다큐멘터리', '드라마']",일본,2007,2.9,mOVvzqO
기차를 세워주세요,['한지혜'],movies,['드라마'],한국,2008,3.5,mOgB93Y
전병 파는 여인,['김동명'],movies,[],한국,2007,3.0,mW4Lzlo
아이들,['윤성현'],movies,['드라마'],한국,2008,3.6,mW933nG
"십우도 4.득우, 두 모과",['이지상'],movies,"['판타지', '다큐멘터리']",한국,2007,1.3,mO0g96a
신의 아이들,['이승준'],movies,['다큐멘터리'],한국,2008,3.9,mOVb0pO
다른 반쪽,['잉량'],movies,['드라마'],중국,2006,3.5,mWy1ANW
나의 아버지,['알렉산드로 안젤리니'],movies,['드라마'],이탈리아,2006,3.5,m5m41gd
집시 카라반 이야기,['제스민 델랄'],movies,['다큐멘터리'],미국,2006,4.1,mWyEk6W
허스,['김정중'],movies,['드라마'],한국,2007,2.4,mWz41Vd
저수지에서 건진 치타,['양해훈'],movies,['드라마'],한국,2007,2.7,mOk61EW
성북항,['신민재'],movies,[],한국,2007,3.9,m5eJy0R
승아,['김나영'],movies,[],한국,2007,1.6,m5xJZX3
피는 멈추지 않는다,['김승현'],movies,[],한국,2007,2.4,m5GX8nN
유년기의 끝,['김재원'],movies,['드라마'],한국,2006,3.2,m5ZXDe9
십분간 휴식,['이성태'],movies,['드라마'],한국,2007,3.3,m5Y6okQ
폭염,['브리얀테 멘도사'],movies,[],필리핀,2006,2.0,mWJ8Dxd
방랑자,['드니 코테'],movies,[],캐나다,2005,2.6,m53EojO
전장의 미소,"['시몬느 아버그 캐른', '매그너스 베즈마']",movies,['다큐멘터리'],덴마크,2005,3.6,mWvDEDd
카트 끄는 남자,['라민 바흐러니'],movies,['드라마'],미국,2005,4.0,mWz4zBd
비르와 자라,['야시 초프라'],movies,"['로맨스', '드라마']",인도,2004,3.7,m5eJGgW
북쪽에서 온 이야기,['우루퐁 락사사드'],movies,['다큐멘터리'],태국,2005,4.5,mO1bMxd
하얀 암낙타,['자비에 크리스티앙'],movies,['다큐멘터리'],미국,2005,2.0,mOoZMNW
"뉴욕에서 11,000키로미터",['오즈 샤리포브'],movies,[],타지키스탄,2005,1.0,m5rQxMJ
쇼킹 패밀리,['경순'],movies,"['다큐멘터리', '드라마']",한국,2006,3.4,mOPo9aW
