user_code,title,movie_code,content_type,genres,year
nkPvrb8wrvgar,캡틴 판타스틱,mO1VGKo,movies,"['코미디', '드라마']",2016
nkPvrb8wrvgar,퐁네프의 연인들,m5Y6kvW,movies,"['드라마', '로맨스']",1991
nkPvrb8wrvgar,마미,m5nQ3Q9,movies,['드라마'],2014
nkPvrb8wrvgar,차가운 열대어,mO19loO,movies,"['스릴러', '드라마']",2010
nkPvrb8wrvgar,마을에 부는 산들바람,mOkvAgW,movies,"['드라마', '로맨스']",2007
nkPvrb8wrvgar,블루 재스민,m5rQGMm,movies,['드라마'],2013
nkPvrb8wrvgar,우연히 나는 아름다움의 섬광을 보았다,md7pDM5,movies,['다큐멘터리'],2000
nkPvrb8wrvgar,용서받지 못한 자,m5epaZd,movies,"['서부극', '드라마', '범죄']",1992
nkPvrb8wrvgar,블루 발렌타인,m5DRa7O,movies,"['드라마', '로맨스']",2010
nkPvrb8wrvgar,빈 집,mgOAgl5,movies,"['로맨스', '드라마']",2004
nkPvrb8wrvgar,스토커,md66PXd,movies,"['스릴러', '드라마']",2013
nkPvrb8wrvgar,LA 컨피덴셜,mAd7aBW,movies,"['범죄', '드라마', '미스터리', '스릴러']",1997
nkPvrb8wrvgar,세 가지 색 : 레드,mjO007O,movies,"['드라마', '미스터리', '로맨스']",1994
nkPvrb8wrvgar,세 가지 색 : 화이트,mOgJrgW,movies,"['코미디', '드라마', '로맨스']",1994
nkPvrb8wrvgar,세 가지 색 : 블루,mXOgDNd,movies,"['드라마', '음악', '미스터리', '로맨스']",1993
nkPvrb8wrvgar,걸어도 걸어도,m5XlpB5,movies,"['가족', '드라마']",2008
nkPvrb8wrvgar,차이나타운,md7vJ1O,movies,"['드라마', '미스터리', '스릴러']",1974
nkPvrb8wrvgar,공동경비구역 JSA,md7ZPBO,movies,"['드라마', '미스터리']",2000
nkPvrb8wrvgar,빠삐용,mWyRKKO,movies,"['범죄', '드라마']",1973
WwRqoR4OWxlzB,Alice in Chains: MTV Unplugged,mOPbNxw,movies,['음악'],1996
